SENDIST,WhiteEmploy,BlackEmploy,Native AmericanEmploy,AsianEmploy,LatinoEmploy,WhiteDisability,BlackDisability,Native AmericanDisability,AsianDisability,LatinoDisability,FemHHPov,TotalIncomeBuyingPower,MNTaxes
40,6.3,13.5,16.3,5.4,3.8,12.4,6.5,9.4,10.5,4.1,84%,$ 868 million,"$99,785,774 "
41,5.5,18,12.9,4.8,10,10.5,16.8,17.6,5.4,11.1,56%,$ 433 million,"$49,847,835 "
42,3.4,5.9,26.5,8.4,7.3,12.6,11.7,14.5,7.1,11.1,33%,$ 309 million,"$35,544,382 "
43,5.4,11.5,7.9,7.8,12.1,8.3,10.7,42,1.2,3.8,41%,$ 377 million,"$43,364,412 "
44,4.3,3.7,0,3.8,2.7,12.3,12.6,29.6,8.4,5.2,33%,$ 260 million,"$29,968,492 "
45,4.7,9.9,18.9,5.1,1,10.4,12.5,8.5,4.6,8.9,60%,$ 364 million,"$41,912,111 "
46,4.7,9.9,16.1,3.9,10.9,7.1,5,19.2,1.7,2.2,56%,$ 367 million,"$42,293,460 "
47,3.6,8.8,43.1,4.3,1.8,7.6,5.7,11.8,2,5.6,14%,$ 146 million,"$16,834,683 "
48,4.4,10.7,0,2.9,1.9,9.3,10.3,4.9,3.8,5.6,45%,$ 308 million,"$35,484,479 "
49,3.7,9.9,3.8,3.5,4.2,13.3,9.8,20.4,7.1,5.7,13%,$ 258 million,"$29,654,956 "
50,5.3,9.8,5,6.7,9.7,7.1,6.6,6,4.8,4.5,64%,$ 497 million,"$57,212,200 "
51,3.7,11.9,8.6,4.4,4,12.3,8.8,13.3,8.7,7.6,49%,$ 378 million,"$43,550,971 "
52,5.6,10.5,6.3,12.1,7.1,7.4,6.9,6,3.8,4.4,57%,$ 344 million,"$39,647,445 "
53,3.9,6,0,6.5,11.7,10.3,10,13.5,4.5,7.1,61%,$ 364 million,"$41,917,300 "
54,5.2,15.3,17.3,7.9,9.8,7.1,10.8,8.4,4.7,4.9,15%,$ 219 million,"$25,226,985 "
55,3.9,13.8,13.4,4.8,10.7,8.2,7.1,13.7,5.1,6.5,37%,$ 319 million,"$36,768,122 "
56,3.6,12.5,7.3,4.5,5.6,7.8,9.7,8.7,6.5,3.6,66%,$ 363 million,"$41,849,628 "
57,3.6,17.3,0,6.9,7.6,6.8,8.4,23,5.2,5.4,60%,$ 266 million,"$30,701,440 "
58,3.6,7.9,38.1,2.6,3.4,13.1,18,25.4,8.4,9.4,30%,$ 144 million,"$16,624,725 "
59,6,21.6,17.5,10.1,13.6,9.7,11.6,21.7,7.5,8.4,83%,$914 million,"$105,167,085 "
60,6.5,14.7,11.4,7.9,4.7,6.8,16.5,14.8,5.8,4,78%,$ 528 million,"$60,831,731 "
61,4,"18,1",8.9,4.5,5.3,11.2,19.4,21.6,7.2,7.5,54%,$ 236 million,"$27,161,091 "
62,5.5,18.7,21.6,10,8.8,10.2,18.2,24.4,10.3,7,88%,$ 818 million,"$94,052,091 "
63,4,8.6,15.1,5.9,9.5,8.9,10.1,11.5,4.9,4.4,74%,$ 374 million,"$43,052,692 "
64,4,11.2,2.9,10.2,10,13.8,17.3,13.6,13.6,11.6,47%,$ 291 million,"$33,552,977 "
65,5.6,20.2,13,14.1,13.2,16.4,16.4,18.7,9.4,8.4,82%,$ 830 million,"$95,414,582 "
66,5,16.9,14.4,9.4,13.8,12.3,10.5,19.8,3.3,16.8,71%,$ 619 million,"$71,194,980 "
67,7.3,19.4,34.4,8.7,11.7,11.2,11.7,13.4,10.5,5.9,75%,$ 1 Billion,"$115,216,127 "
Sen,,,,,,,,,,,,,
